spatial_cell,archetype_id,archetype_name,lifecycle_state,hotspot_text,mean_poi,cis,propagation_score,enforcement_failure_index,final_priority_score,forecast_next_poi,pred_high_risk_prob
cell_12.901_77.66,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.66. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.81. Congestion Impact Score 39.37. Propagation Score 29.55. Enforcement Failure Index 49.80. Priority Score 43.81. Recommended Action: Night patrol + camera monitoring.,0.8126324860687723,39.365724155578306,29.554759467758444,49.80373592630502,43.808085977482094,0.8126324860687723,0.0
cell_12.901_77.661,4,Freight Obstruction Corridors,Stable,Spatial Cell cell_12.901_77.661. Archetype: Freight Obstruction Corridors. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 23.99. Propagation Score 25.93. Enforcement Failure Index 30.20. Priority Score 29.25. Recommended Action: Heavy-vehicle enforcement + loading control.,0.7537718023763802,23.988613101330607,25.93398157625384,30.201125895598775,29.252548618219045,0.7537718023763802,0.0
cell_12.901_77.675,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.675. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.59. Congestion Impact Score 18.97. Propagation Score 9.40. Enforcement Failure Index 33.86. Priority Score 28.10. Recommended Action: Night patrol + camera monitoring.,0.5939274135279711,18.96910184237462,9.403787103377686,33.860926305015354,28.100818833162744,0.5939274135279711,0.0
cell_12.901_77.676,1,Night Spillovers,Declining,Spatial Cell cell_12.901_77.676. Archetype: Night Spillovers. Lifecycle State: Declining. Average Parking Impact Score 0.83. Congestion Impact Score 34.24. Propagation Score 30.42. Enforcement Failure Index 34.16. Priority Score 35.47. Recommended Action: Night patrol + camera monitoring.,0.8258371086333866,34.237141760491305,30.424769703172977,34.16184749232344,35.46750255885364,0.7497543348613362,0.0057772981606975015
cell_12.901_77.688,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.688. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 21.24. Propagation Score 19.10. Enforcement Failure Index 28.43. Priority Score 23.70. Recommended Action: Night patrol + camera monitoring.,0.7537718023763802,21.237845445240534,19.101842374616172,28.43014329580348,23.700230296827023,0.7537718023763802,0.0
cell_12.901_77.689,0,Junction Choke Points,Stable,Spatial Cell cell_12.901_77.689. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.48. Congestion Impact Score 71.83. Propagation Score 74.13. Enforcement Failure Index 66.23. Priority Score 74.54. Recommended Action: Immediate patrol + tow readiness.,1.4759065198095778,71.83053991811668,74.12998976458547,66.23144831115661,74.54263050153531,1.4759065198095778,0.0
cell_12.901_77.709,1,Night Spillovers,Declining,Spatial Cell cell_12.901_77.709. Archetype: Night Spillovers. Lifecycle State: Declining. Average Parking Impact Score 0.95. Congestion Impact Score 38.42. Propagation Score 42.40. Enforcement Failure Index 35.41. Priority Score 39.75. Recommended Action: Night patrol + camera monitoring.,0.9472458890071885,38.422786591606965,42.40020470829069,35.41107983623336,39.7482088024565,0.8990820518862392,0.0056799266647592165
cell_12.901_77.71,1,Night Spillovers,Stable,Spatial Cell cell_12.901_77.71. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.93. Congestion Impact Score 43.06. Propagation Score 41.48. Enforcement Failure Index 46.23. Priority Score 40.73. Recommended Action: Night patrol + camera monitoring.,0.9299014956844309,43.05655066530194,41.47901740020471,46.226842374616176,40.727610030706245,0.9299014956844309,0.0
cell_12.902_77.544,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.544. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.32. Congestion Impact Score 7.66. Propagation Score 0.03. Enforcement Failure Index 19.32. Priority Score 12.58. Recommended Action: Night patrol + camera monitoring.,0.3184537311185346,7.660887922210849,0.0255885363357216,19.31960081883316,12.575997952917096,0.3184537311185346,0.0
cell_12.902_77.567,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.567. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 1.18. Congestion Impact Score 62.06. Propagation Score 61.30. Enforcement Failure Index 59.95. Priority Score 53.98. Recommended Action: Night patrol + camera monitoring.,1.1786549963416462,62.05667860798362,61.29733879222109,59.9515097236438,53.975818833162734,1.1786549963416462,0.0
