source,target,weight,edge_type
cell_12.842_77.648,cell_12.912_77.634,0.9929005221507528,similarity
cell_12.842_77.648,cell_12.965_77.555,0.9925371313874721,similarity
cell_12.842_77.648,cell_12.996_77.695,0.9850695662911884,similarity
cell_12.842_77.648,cell_12.912_77.636,0.9805132171404985,similarity
cell_12.842_77.665,cell_13.014_77.649,0.999817339475482,similarity
cell_12.842_77.665,cell_12.865_77.657,0.9996746646330136,similarity
cell_12.842_77.665,cell_13.195_77.7,0.9988117978312929,similarity
cell_12.842_77.665,cell_13.109_77.604,0.9975050135676808,similarity
cell_12.842_77.665,cell_12.956_77.641,0.9967781357218317,similarity
cell_12.842_77.676,cell_13.097_77.578,0.9999747380231464,similarity
cell_12.842_77.676,cell_12.916_77.699,0.9999391431808732,similarity
cell_12.842_77.676,cell_12.921_77.662,0.9999025804909919,similarity
cell_12.842_77.676,cell_12.881_77.61,0.9998724613269361,similarity
cell_12.842_77.676,cell_12.999_77.611,0.9998443281096986,similarity
cell_12.842_77.686,cell_13.009_77.657,0.9999999953261572,similarity
cell_12.842_77.686,cell_12.974_77.641,0.9999999863339788,similarity
cell_12.842_77.686,cell_12.903_77.628,0.9999999131007207,similarity
cell_12.842_77.686,cell_12.845_77.665,0.999904773634791,similarity
cell_12.842_77.686,cell_12.999_77.618,0.9998780236366503,similarity
cell_12.842_77.687,cell_13.071_77.504,0.9999998400980418,similarity
cell_12.842_77.687,cell_13.015_77.485,0.999998174704082,similarity
cell_12.842_77.687,cell_13.022_77.557,0.9999964096612122,similarity
cell_12.842_77.687,cell_12.844_77.588,0.9999718865559317,similarity
cell_12.842_77.687,cell_13.014_77.641,0.9999485246347716,similarity
cell_12.843_77.639,cell_13.009_77.483,0.9999998498281293,similarity
cell_12.843_77.639,cell_13.166_77.711,0.9999997421494332,similarity
cell_12.843_77.639,cell_12.981_77.656,0.9999995784411481,similarity
cell_12.843_77.639,cell_12.904_77.45,0.9999987440086898,similarity
cell_12.843_77.639,cell_13.042_77.611,0.9999981502388455,similarity
cell_12.843_77.642,cell_12.886_77.561,0.9996885954555418,similarity
cell_12.843_77.642,cell_12.996_77.608,0.999485634223115,similarity
cell_12.843_77.642,cell_12.897_77.6,0.9985925953645791,similarity
cell_12.843_77.642,cell_13.013_77.662,0.9984587709525182,similarity
cell_12.843_77.642,cell_13.019_77.639,0.9984285748332594,similarity
cell_12.843_77.643,cell_13.102_77.599,0.9999999945252055,similarity
cell_12.843_77.643,cell_12.978_77.631,0.9999999945222173,similarity
cell_12.843_77.643,cell_12.999_77.581,0.9999999801915825,similarity
cell_12.843_77.643,cell_12.915_77.515,0.9999999781067961,similarity
cell_12.843_77.643,cell_12.908_77.649,0.9999999543269878,similarity
