spatial_cell,hour,avg_poi,avg_violations
cell_12.842_77.676,19.0,1.1786549963416462,1
cell_12.842_77.686,0.0,0.44628710262841953,1
cell_12.842_77.686,1.0,0.3184537311185346,1
cell_12.842_77.687,22.0,0.9886113934537812,2
cell_12.843_77.639,1.0,0.7537718023763802,1
cell_12.843_77.642,0.0,0.8711915979150807,2
cell_12.843_77.642,1.0,1.0560526742493137,1
cell_12.843_77.642,9.0,0.7537718023763802,1
cell_12.843_77.642,20.0,0.7537718023763802,1
cell_12.843_77.642,23.0,0.5596157879354227,1
cell_12.843_77.643,21.0,0.5596157879354227,1
cell_12.843_77.644,0.0,0.6000294525023999,2
cell_12.843_77.644,1.0,0.9243945460052436,3
cell_12.843_77.644,2.0,0.6827866717411866,2
cell_12.843_77.644,5.0,0.9299014956844309,4
cell_12.843_77.644,6.0,1.043257654581832,12
cell_12.843_77.644,7.0,0.9445753212207846,38
cell_12.843_77.644,8.0,1.1592192378334258,54
cell_12.843_77.644,9.0,1.0297185682089387,8
cell_12.843_77.644,19.0,0.903231026257342,2
cell_12.843_77.644,20.0,1.261651915912614,1
cell_12.843_77.644,22.0,0.9886113934537812,1
cell_12.843_77.644,23.0,0.8418313237000568,4
cell_12.843_77.645,1.0,0.6118015411059929,3
cell_12.843_77.645,4.0,0.3184537311185346,1
cell_12.843_77.645,6.0,0.7537718023763802,1
cell_12.843_77.645,8.0,0.8002064672798871,2
cell_12.843_77.674,1.0,0.7537718023763802,1
cell_12.843_77.674,19.0,1.33828514193353,1
cell_12.843_77.675,3.0,0.7537718023763802,1
cell_12.843_77.675,4.0,0.7537718023763802,1
cell_12.843_77.675,6.0,0.7537718023763802,1
cell_12.843_77.687,21.0,0.7732468532156754,3
cell_12.843_77.688,2.0,0.9162907318741551,1
cell_12.843_77.688,20.0,0.7537718023763802,1
cell_12.843_77.688,21.0,1.380123808349892,8
cell_12.844_77.588,22.0,0.9886113934537812,2
cell_12.844_77.644,0.0,0.9495725101973939,3
cell_12.844_77.644,1.0,0.7871600289872445,4
cell_12.844_77.644,2.0,1.1308382586853376,6
cell_12.844_77.644,3.0,0.548423143667064,5
cell_12.844_77.644,4.0,0.5487820025444065,3
cell_12.844_77.644,5.0,0.716327413547881,8
cell_12.844_77.644,7.0,0.44628710262841953,1
cell_12.844_77.644,8.0,0.7537718023763802,1
cell_12.844_77.644,20.0,0.7322640131241348,4
cell_12.844_77.644,21.0,0.6566937951559014,2
cell_12.844_77.644,22.0,0.8711915979150807,4
cell_12.844_77.644,23.0,0.5596157879354227,1
cell_12.844_77.645,4.0,0.5596157879354227,1
cell_12.844_77.645,8.0,0.9886113934537812,1
cell_12.844_77.645,20.0,1.0560526742493137,1
cell_12.844_77.649,8.0,0.9886113934537812,2
cell_12.844_77.688,2.0,0.9162907318741551,1
cell_12.844_77.688,21.0,0.9162907318741551,1
cell_12.845_77.657,1.0,0.3184537311185346,1
cell_12.845_77.665,1.0,0.4390347595269786,2
cell_12.845_77.665,2.0,0.3184537311185346,1
cell_12.845_77.665,23.0,0.44628710262841953,1
cell_12.845_77.666,1.0,0.7537718023763802,1
cell_12.846_77.588,7.0,1.1786549963416462,1
cell_12.846_77.647,3.0,0.5596157879354227,1
cell_12.846_77.648,2.0,0.5596157879354227,1
cell_12.846_77.672,6.0,0.7537718023763802,1
cell_12.846_77.681,6.0,0.7537718023763802,1
cell_12.847_77.672,20.0,0.7537718023763802,2
cell_12.847_77.672,21.0,0.5439471071434459,3
cell_12.848_77.658,7.0,1.1786549963416462,5
cell_12.849_77.671,0.0,0.9886113934537812,1
cell_12.84_77.644,20.0,1.0560526742493137,1
cell_12.84_77.644,21.0,1.046028472154955,2
cell_12.84_77.65,7.0,0.5596157879354227,1
cell_12.84_77.651,6.0,1.1786549963416462,1
cell_12.84_77.651,21.0,0.9162907318741551,1
cell_12.84_77.652,0.0,0.5596157879354227,1
cell_12.84_77.652,6.0,1.0737092905546497,5
cell_12.84_77.652,7.0,1.0412055046550948,5
cell_12.84_77.653,6.0,0.7374048252219224,3
