spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_13.122_77.614,-1,4,Freight Obstruction Corridors,Stable
cell_13.122_77.615,-1,1,Night Spillovers,Stable
cell_13.122_77.62,-1,4,Freight Obstruction Corridors,Stable
cell_13.122_77.621,17,1,Night Spillovers,Stable
cell_13.122_77.622,17,0,Junction Choke Points,Stable
cell_13.122_77.623,17,1,Night Spillovers,Stable
cell_13.122_77.624,17,4,Freight Obstruction Corridors,Stable
cell_13.122_77.625,17,5,Mixed Risk Zone,Stable
cell_13.122_77.626,-1,0,Junction Choke Points,Stable
cell_13.122_77.627,13,1,Night Spillovers,Stable
cell_13.122_77.628,13,1,Night Spillovers,Stable
cell_13.122_77.629,-1,4,Freight Obstruction Corridors,Stable
cell_13.122_77.63,13,1,Night Spillovers,Declining
cell_13.122_77.631,13,0,Junction Choke Points,Stable
cell_13.122_77.632,13,4,Freight Obstruction Corridors,Stable
cell_13.122_77.633,-1,4,Freight Obstruction Corridors,Stable
cell_13.122_77.634,-1,4,Freight Obstruction Corridors,Stable
cell_13.123_77.61,29,1,Night Spillovers,Stable
cell_13.123_77.611,-1,5,Mixed Risk Zone,Stable
cell_13.123_77.612,-1,4,Freight Obstruction Corridors,Stable
cell_13.123_77.63,13,4,Freight Obstruction Corridors,Stable
cell_13.125_77.574,-1,5,Mixed Risk Zone,Stable
cell_13.126_77.573,-1,4,Freight Obstruction Corridors,Stable
cell_13.129_77.572,-1,4,Freight Obstruction Corridors,Stable
cell_13.12_77.608,-1,1,Night Spillovers,Stable
cell_13.12_77.61,18,0,Junction Choke Points,Stable
cell_13.12_77.632,13,4,Freight Obstruction Corridors,Stable
cell_13.12_77.633,13,4,Freight Obstruction Corridors,Stable
cell_13.134_77.57,-1,1,Night Spillovers,Stable
cell_13.139_77.618,6,4,Freight Obstruction Corridors,Stable
cell_13.139_77.621,-1,5,Mixed Risk Zone,Stable
cell_13.13_77.572,-1,4,Freight Obstruction Corridors,Stable
cell_13.141_77.618,6,4,Freight Obstruction Corridors,Stable
cell_13.142_77.618,6,5,Mixed Risk Zone,Stable
cell_13.143_77.618,5,1,Night Spillovers,Stable
cell_13.144_77.617,5,1,Night Spillovers,Stable
cell_13.144_77.618,5,4,Freight Obstruction Corridors,Declining
cell_13.145_77.617,5,5,Mixed Risk Zone,Stable
cell_13.145_77.618,5,4,Freight Obstruction Corridors,Stable
cell_13.148_77.619,5,1,Night Spillovers,Stable
