spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_12.803_77.704,-1,1,Night Spillovers,Stable
cell_12.805_77.7,27,0,Junction Choke Points,Stable
cell_12.806_77.698,27,1,Night Spillovers,Stable
cell_12.806_77.699,27,0,Junction Choke Points,Stable
cell_12.806_77.7,27,0,Junction Choke Points,Stable
cell_12.807_77.697,27,1,Night Spillovers,Stable
cell_12.807_77.698,27,0,Junction Choke Points,Stable
cell_12.807_77.699,27,0,Junction Choke Points,Stable
cell_12.808_77.697,27,5,Mixed Risk Zone,Stable
cell_12.808_77.698,27,1,Night Spillovers,Stable
cell_12.811_77.694,-1,4,Freight Obstruction Corridors,Stable
cell_12.811_77.695,27,4,Freight Obstruction Corridors,Stable
cell_12.812_77.694,-1,4,Freight Obstruction Corridors,Stable
cell_12.814_77.692,-1,1,Night Spillovers,Stable
cell_12.817_77.69,-1,4,Freight Obstruction Corridors,Stable
cell_12.818_77.689,51,4,Freight Obstruction Corridors,Stable
cell_12.818_77.69,51,1,Night Spillovers,Stable
cell_12.819_77.688,50,1,Night Spillovers,Stable
cell_12.819_77.689,51,1,Night Spillovers,Stable
cell_12.819_77.69,51,1,Night Spillovers,Stable
cell_12.821_77.687,-1,0,Junction Choke Points,Stable
cell_12.821_77.688,-1,1,Night Spillovers,Stable
cell_12.822_77.686,-1,1,Night Spillovers,Stable
cell_12.822_77.687,-1,1,Night Spillovers,Stable
cell_12.823_77.685,-1,1,Night Spillovers,Stable
cell_12.823_77.686,-1,0,Junction Choke Points,Stable
cell_12.824_77.684,-1,1,Night Spillovers,Stable
cell_12.824_77.685,-1,0,Junction Choke Points,Stable
cell_12.825_77.683,38,4,Freight Obstruction Corridors,Stable
cell_12.825_77.684,-1,4,Freight Obstruction Corridors,Stable
cell_12.826_77.682,38,5,Mixed Risk Zone,Stable
cell_12.826_77.683,38,4,Freight Obstruction Corridors,Stable
cell_12.827_77.682,38,0,Junction Choke Points,Stable
cell_12.828_77.682,38,4,Freight Obstruction Corridors,Stable
cell_12.828_77.683,38,1,Night Spillovers,Stable
cell_12.829_77.682,38,4,Freight Obstruction Corridors,Stable
cell_12.82_77.687,-1,1,Night Spillovers,Stable
cell_12.82_77.688,50,0,Junction Choke Points,Growing
cell_12.82_77.689,-1,0,Junction Choke Points,Stable
cell_12.831_77.681,-1,1,Night Spillovers,Stable
cell_12.832_77.68,-1,4,Freight Obstruction Corridors,Stable
cell_12.833_77.68,-1,4,Freight Obstruction Corridors,Stable
cell_12.833_77.681,-1,4,Freight Obstruction Corridors,Stable
cell_12.835_77.679,37,4,Freight Obstruction Corridors,Declining
cell_12.835_77.68,37,5,Mixed Risk Zone,Stable
cell_12.835_77.681,37,5,Mixed Risk Zone,Stable
cell_12.836_77.679,37,1,Night Spillovers,Stable
cell_12.836_77.68,37,4,Freight Obstruction Corridors,Stable
cell_12.837_77.663,-1,1,Night Spillovers,Stable
cell_12.837_77.678,37,1,Night Spillovers,Stable
cell_12.838_77.677,-1,1,Night Spillovers,Stable
cell_12.839_77.651,-1,1,Night Spillovers,Stable
cell_12.839_77.657,-1,5,Mixed Risk Zone,Stable
cell_12.839_77.678,43,1,Night Spillovers,Stable
cell_12.83_77.681,-1,4,Freight Obstruction Corridors,Stable
cell_12.83_77.682,-1,4,Freight Obstruction Corridors,Stable
cell_12.841_77.644,-1,4,Freight Obstruction Corridors,Declining
cell_12.841_77.645,-1,1,Night Spillovers,Stable
cell_12.841_77.646,-1,5,Mixed Risk Zone,Stable
cell_12.841_77.647,-1,1,Night Spillovers,Stable
cell_12.841_77.648,-1,5,Mixed Risk Zone,Stable
cell_12.841_77.649,-1,1,Night Spillovers,Declining
cell_12.841_77.65,48,5,Mixed Risk Zone,Stable
cell_12.841_77.651,48,5,Mixed Risk Zone,Stable
cell_12.841_77.652,-1,1,Night Spillovers,Stable
cell_12.841_77.663,-1,1,Night Spillovers,Stable
cell_12.841_77.676,57,1,Night Spillovers,Stable
cell_12.841_77.677,59,1,Night Spillovers,Stable
cell_12.842_77.644,163,5,Mixed Risk Zone,Stable
cell_12.842_77.645,-1,5,Mixed Risk Zone,Stable
cell_12.842_77.646,151,3,Weekend Event Zones,Stable
cell_12.842_77.647,106,5,Mixed Risk Zone,Stable
cell_12.842_77.648,105,5,Mixed Risk Zone,Growing
cell_12.842_77.665,-1,1,Night Spillovers,Stable
cell_12.842_77.676,-1,1,Night Spillovers,Stable
cell_12.842_77.686,-1,1,Night Spillovers,Stable
cell_12.842_77.687,-1,1,Night Spillovers,Stable
cell_12.843_77.639,-1,1,Night Spillovers,Stable
cell_12.843_77.642,-1,1,Night Spillovers,Stable
cell_12.843_77.643,-1,4,Freight Obstruction Corridors,Stable
cell_12.843_77.644,104,5,Mixed Risk Zone,Declining
cell_12.843_77.645,-1,1,Night Spillovers,Stable
cell_12.843_77.674,-1,4,Freight Obstruction Corridors,Stable
cell_12.843_77.675,-1,1,Night Spillovers,Stable
cell_12.843_77.687,-1,4,Freight Obstruction Corridors,Stable
cell_12.843_77.688,-1,4,Freight Obstruction Corridors,Stable
cell_12.844_77.588,-1,1,Night Spillovers,Stable
cell_12.844_77.644,95,1,Night Spillovers,Declining
cell_12.844_77.645,-1,1,Night Spillovers,Stable
cell_12.844_77.649,-1,5,Mixed Risk Zone,Stable
cell_12.844_77.688,-1,4,Freight Obstruction Corridors,Stable
cell_12.845_77.657,-1,1,Night Spillovers,Stable
cell_12.845_77.665,-1,1,Night Spillovers,Stable
cell_12.845_77.666,-1,1,Night Spillovers,Stable
cell_12.846_77.588,141,5,Mixed Risk Zone,Stable
cell_12.846_77.647,-1,1,Night Spillovers,Stable
cell_12.846_77.648,-1,1,Night Spillovers,Stable
cell_12.846_77.672,-1,1,Night Spillovers,Stable
cell_12.846_77.681,-1,1,Night Spillovers,Stable
cell_12.847_77.672,-1,4,Freight Obstruction Corridors,Stable
cell_12.848_77.658,26,5,Mixed Risk Zone,Stable
cell_12.849_77.671,-1,1,Night Spillovers,Stable
cell_12.84_77.644,-1,4,Freight Obstruction Corridors,Stable
cell_12.84_77.65,48,5,Mixed Risk Zone,Stable
cell_12.84_77.651,-1,4,Freight Obstruction Corridors,Stable
cell_12.84_77.652,-1,5,Mixed Risk Zone,Stable
cell_12.84_77.653,-1,1,Night Spillovers,Stable
cell_12.84_77.654,-1,1,Night Spillovers,Stable
cell_12.84_77.663,-1,1,Night Spillovers,Stable
cell_12.84_77.664,-1,1,Night Spillovers,Stable
cell_12.84_77.676,-1,5,Mixed Risk Zone,Stable
cell_12.84_77.677,70,1,Night Spillovers,Declining
cell_12.84_77.678,-1,1,Night Spillovers,Stable
cell_12.851_77.588,141,1,Night Spillovers,Stable
cell_12.851_77.657,26,5,Mixed Risk Zone,Stable
cell_12.851_77.658,26,1,Night Spillovers,Stable
cell_12.852_77.588,141,1,Night Spillovers,Stable
cell_12.853_77.588,141,1,Night Spillovers,Stable
cell_12.853_77.589,141,4,Freight Obstruction Corridors,Stable
cell_12.854_77.588,141,4,Freight Obstruction Corridors,Stable
cell_12.854_77.589,141,1,Night Spillovers,Stable
cell_12.854_77.662,32,1,Night Spillovers,Stable
cell_12.855_77.589,141,1,Night Spillovers,Stable
cell_12.855_77.664,31,4,Freight Obstruction Corridors,Stable
cell_12.855_77.665,31,4,Freight Obstruction Corridors,Growing
cell_12.855_77.666,31,1,Night Spillovers,Stable
cell_12.855_77.675,-1,1,Night Spillovers,Stable
cell_12.856_77.569,-1,1,Night Spillovers,Stable
cell_12.856_77.589,141,1,Night Spillovers,Stable
cell_12.856_77.663,31,1,Night Spillovers,Stable
cell_12.856_77.664,31,0,Junction Choke Points,Stable
cell_12.856_77.665,31,1,Night Spillovers,Stable
cell_12.857_77.53,-1,1,Night Spillovers,Stable
cell_12.857_77.589,141,1,Night Spillovers,Declining
cell_12.857_77.59,141,1,Night Spillovers,Stable
cell_12.857_77.663,31,0,Junction Choke Points,Stable
cell_12.857_77.664,31,1,Night Spillovers,Stable
cell_12.858_77.589,141,1,Night Spillovers,Stable
cell_12.859_77.589,141,4,Freight Obstruction Corridors,Stable
cell_12.859_77.59,141,1,Night Spillovers,Stable
cell_12.859_77.703,-1,1,Night Spillovers,Stable
cell_12.85_77.589,141,1,Night Spillovers,Stable
cell_12.85_77.652,-1,4,Freight Obstruction Corridors,Stable
cell_12.85_77.658,26,1,Night Spillovers,Stable
cell_12.861_77.529,207,1,Night Spillovers,Stable
cell_12.861_77.53,207,4,Freight Obstruction Corridors,Stable
cell_12.861_77.59,141,4,Freight Obstruction Corridors,Stable
cell_12.861_77.613,-1,1,Night Spillovers,Stable
cell_12.861_77.648,-1,1,Night Spillovers,Stable
cell_12.861_77.66,-1,1,Night Spillovers,Stable
cell_12.861_77.674,-1,1,Night Spillovers,Stable
cell_12.861_77.675,-1,1,Night Spillovers,Stable
cell_12.862_77.529,207,4,Freight Obstruction Corridors,Stable
cell_12.862_77.53,207,1,Night Spillovers,Declining
cell_12.862_77.59,141,5,Mixed Risk Zone,Stable
cell_12.862_77.706,-1,1,Night Spillovers,Stable
cell_12.863_77.53,207,1,Night Spillovers,Declining
cell_12.863_77.531,207,1,Night Spillovers,Stable
cell_12.863_77.658,-1,1,Night Spillovers,Stable
cell_12.864_77.533,207,4,Freight Obstruction Corridors,Stable
cell_12.865_77.533,-1,1,Night Spillovers,Stable
cell_12.865_77.656,-1,1,Night Spillovers,Stable
cell_12.865_77.657,-1,1,Night Spillovers,Stable
cell_12.866_77.534,-1,1,Night Spillovers,Stable
cell_12.866_77.535,-1,1,Night Spillovers,Stable
cell_12.866_77.536,-1,1,Night Spillovers,Stable
cell_12.866_77.592,-1,1,Night Spillovers,Stable
cell_12.867_77.534,-1,5,Mixed Risk Zone,Stable
cell_12.867_77.535,-1,1,Night Spillovers,Stable
cell_12.867_77.581,-1,1,Night Spillovers,Stable
cell_12.867_77.655,-1,1,Night Spillovers,Stable
cell_12.867_77.656,-1,1,Night Spillovers,Stable
cell_12.868_77.535,-1,0,Junction Choke Points,Stable
cell_12.868_77.536,241,4,Freight Obstruction Corridors,Stable
cell_12.868_77.57,33,5,Mixed Risk Zone,Stable
cell_12.868_77.581,-1,1,Night Spillovers,Stable
cell_12.868_77.592,-1,1,Night Spillovers,Stable
cell_12.868_77.654,-1,1,Night Spillovers,Stable
cell_12.869_77.536,241,1,Night Spillovers,Stable
cell_12.869_77.537,241,1,Night Spillovers,Stable
cell_12.869_77.576,33,1,Night Spillovers,Stable
cell_12.869_77.653,-1,4,Freight Obstruction Corridors,Stable
cell_12.869_77.654,-1,1,Night Spillovers,Stable
cell_12.869_77.66,461,1,Night Spillovers,Stable
cell_12.869_77.661,-1,4,Freight Obstruction Corridors,Stable
cell_12.86_77.528,207,4,Freight Obstruction Corridors,Stable
cell_12.86_77.648,-1,1,Night Spillovers,Stable
cell_12.86_77.66,-1,1,Night Spillovers,Stable
cell_12.86_77.661,-1,1,Night Spillovers,Stable
cell_12.871_77.538,-1,1,Night Spillovers,Stable
cell_12.871_77.539,240,1,Night Spillovers,Stable
cell_12.871_77.57,33,1,Night Spillovers,Stable
cell_12.871_77.583,-1,5,Mixed Risk Zone,Stable
cell_12.871_77.652,-1,1,Night Spillovers,Stable
cell_12.871_77.653,-1,1,Night Spillovers,Stable
cell_12.871_77.654,599,1,Night Spillovers,Stable
cell_12.871_77.655,545,1,Night Spillovers,Stable
cell_12.871_77.656,545,1,Night Spillovers,Declining
cell_12.871_77.657,504,5,Mixed Risk Zone,Stable
cell_12.871_77.658,504,4,Freight Obstruction Corridors,Stable
cell_12.871_77.659,461,1,Night Spillovers,Stable
cell_12.872_77.539,240,1,Night Spillovers,Stable
cell_12.872_77.566,33,5,Mixed Risk Zone,Stable
cell_12.872_77.567,33,1,Night Spillovers,Stable
cell_12.872_77.65,-1,1,Night Spillovers,Stable
cell_12.872_77.651,-1,1,Night Spillovers,Stable
cell_12.872_77.652,-1,4,Freight Obstruction Corridors,Stable
cell_12.872_77.654,-1,5,Mixed Risk Zone,Stable
cell_12.872_77.655,-1,1,Night Spillovers,Stable
cell_12.873_77.539,240,1,Night Spillovers,Stable
cell_12.873_77.54,-1,1,Night Spillovers,Stable
cell_12.873_77.566,33,1,Night Spillovers,Stable
cell_12.873_77.567,33,1,Night Spillovers,Stable
cell_12.873_77.593,295,4,Freight Obstruction Corridors,Stable
cell_12.873_77.594,295,4,Freight Obstruction Corridors,Stable
cell_12.873_77.595,-1,1,Night Spillovers,Stable
cell_12.873_77.602,-1,1,Night Spillovers,Stable
cell_12.873_77.654,-1,1,Night Spillovers,Stable
cell_12.874_77.54,231,5,Mixed Risk Zone,Stable
cell_12.874_77.541,231,1,Night Spillovers,Declining
cell_12.874_77.543,-1,1,Night Spillovers,Stable
cell_12.874_77.564,33,1,Night Spillovers,Stable
cell_12.874_77.565,33,1,Night Spillovers,Stable
cell_12.874_77.584,-1,1,Night Spillovers,Stable
cell_12.874_77.594,295,1,Night Spillovers,Stable
cell_12.874_77.595,295,1,Night Spillovers,Stable
cell_12.874_77.618,147,5,Mixed Risk Zone,Stable
cell_12.874_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.874_77.642,-1,1,Night Spillovers,Stable
cell_12.874_77.643,-1,1,Night Spillovers,Stable
cell_12.874_77.644,-1,1,Night Spillovers,Stable
cell_12.874_77.645,-1,1,Night Spillovers,Stable
cell_12.874_77.646,-1,0,Junction Choke Points,Stable
cell_12.874_77.649,-1,1,Night Spillovers,Stable
cell_12.874_77.654,-1,1,Night Spillovers,Stable
cell_12.875_77.538,-1,1,Night Spillovers,Stable
cell_12.875_77.539,-1,5,Mixed Risk Zone,Stable
cell_12.875_77.541,231,1,Night Spillovers,Stable
cell_12.875_77.542,231,1,Night Spillovers,Stable
cell_12.875_77.543,246,5,Mixed Risk Zone,Stable
cell_12.875_77.544,246,1,Night Spillovers,Stable
cell_12.875_77.595,313,1,Night Spillovers,Stable
cell_12.875_77.596,313,1,Night Spillovers,Stable
cell_12.875_77.64,-1,0,Junction Choke Points,Stable
cell_12.875_77.648,688,4,Freight Obstruction Corridors,Stable
cell_12.875_77.649,-1,0,Junction Choke Points,Stable
cell_12.875_77.669,81,5,Mixed Risk Zone,Stable
cell_12.875_77.67,81,5,Mixed Risk Zone,Stable
cell_12.875_77.671,81,1,Night Spillovers,Stable
cell_12.876_77.529,-1,5,Mixed Risk Zone,Stable
cell_12.876_77.531,-1,1,Night Spillovers,Stable
cell_12.876_77.532,-1,1,Night Spillovers,Stable
cell_12.876_77.542,-1,4,Freight Obstruction Corridors,Stable
cell_12.876_77.543,246,5,Mixed Risk Zone,Stable
cell_12.876_77.544,246,1,Night Spillovers,Stable
cell_12.876_77.595,314,1,Night Spillovers,Declining
cell_12.876_77.596,314,1,Night Spillovers,Stable
cell_12.876_77.597,330,1,Night Spillovers,Growing
cell_12.876_77.598,-1,5,Mixed Risk Zone,Stable
cell_12.876_77.612,147,1,Night Spillovers,Stable
cell_12.876_77.616,147,5,Mixed Risk Zone,Stable
cell_12.876_77.617,147,1,Night Spillovers,Stable
cell_12.876_77.639,-1,4,Freight Obstruction Corridors,Stable
cell_12.876_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.876_77.647,654,4,Freight Obstruction Corridors,Stable
cell_12.876_77.648,689,0,Junction Choke Points,Growing
cell_12.876_77.649,-1,1,Night Spillovers,Stable
cell_12.876_77.671,81,1,Night Spillovers,Stable
cell_12.876_77.672,81,1,Night Spillovers,Stable
cell_12.877_77.544,246,1,Night Spillovers,Stable
cell_12.877_77.545,246,0,Junction Choke Points,Stable
cell_12.877_77.546,246,5,Mixed Risk Zone,Stable
cell_12.877_77.595,314,5,Mixed Risk Zone,Stable
cell_12.877_77.596,314,1,Night Spillovers,Declining
cell_12.877_77.598,-1,1,Night Spillovers,Stable
cell_12.877_77.611,147,1,Night Spillovers,Stable
cell_12.877_77.612,147,1,Night Spillovers,Stable
cell_12.877_77.615,147,1,Night Spillovers,Stable
cell_12.877_77.626,-1,1,Night Spillovers,Stable
cell_12.877_77.639,-1,0,Junction Choke Points,Stable
cell_12.877_77.646,-1,1,Night Spillovers,Stable
cell_12.877_77.647,652,4,Freight Obstruction Corridors,Growing
cell_12.877_77.648,-1,1,Night Spillovers,Stable
cell_12.877_77.672,81,1,Night Spillovers,Stable
cell_12.877_77.736,4,4,Freight Obstruction Corridors,Stable
cell_12.878_77.445,-1,1,Night Spillovers,Stable
cell_12.878_77.517,-1,1,Night Spillovers,Stable
cell_12.878_77.545,-1,1,Night Spillovers,Stable
cell_12.878_77.595,-1,1,Night Spillovers,Stable
cell_12.878_77.596,-1,1,Night Spillovers,Stable
cell_12.878_77.597,-1,1,Night Spillovers,Stable
cell_12.878_77.602,-1,1,Night Spillovers,Stable
cell_12.878_77.625,-1,1,Night Spillovers,Stable
cell_12.878_77.626,-1,5,Mixed Risk Zone,Stable
cell_12.878_77.628,-1,1,Night Spillovers,Stable
cell_12.878_77.646,-1,1,Night Spillovers,Stable
cell_12.878_77.647,-1,1,Night Spillovers,Stable
cell_12.878_77.655,-1,4,Freight Obstruction Corridors,Stable
cell_12.878_77.672,81,1,Night Spillovers,Stable
cell_12.879_77.445,-1,1,Night Spillovers,Stable
cell_12.879_77.544,247,4,Freight Obstruction Corridors,Stable
cell_12.879_77.545,247,1,Night Spillovers,Stable
cell_12.879_77.546,247,1,Night Spillovers,Stable
cell_12.879_77.555,-1,1,Night Spillovers,Stable
cell_12.879_77.595,-1,1,Night Spillovers,Stable
cell_12.879_77.61,147,1,Night Spillovers,Stable
cell_12.879_77.626,-1,1,Night Spillovers,Stable
cell_12.879_77.627,-1,1,Night Spillovers,Stable
cell_12.879_77.636,-1,1,Night Spillovers,Stable
cell_12.879_77.637,-1,5,Mixed Risk Zone,Stable
cell_12.879_77.638,-1,1,Night Spillovers,Stable
cell_12.879_77.639,-1,4,Freight Obstruction Corridors,Stable
cell_12.879_77.641,-1,4,Freight Obstruction Corridors,Stable
cell_12.879_77.642,-1,4,Freight Obstruction Corridors,Stable
cell_12.879_77.645,-1,0,Junction Choke Points,Stable
cell_12.879_77.646,-1,4,Freight Obstruction Corridors,Stable
cell_12.879_77.672,81,1,Night Spillovers,Stable
cell_12.87_77.537,241,0,Junction Choke Points,Stable
cell_12.87_77.538,241,1,Night Spillovers,Stable
cell_12.87_77.652,-1,1,Night Spillovers,Stable
cell_12.87_77.653,-1,1,Night Spillovers,Stable
cell_12.87_77.654,598,5,Mixed Risk Zone,Growing
cell_12.87_77.656,545,1,Night Spillovers,Growing
cell_12.87_77.657,504,0,Junction Choke Points,Stable
cell_12.87_77.658,504,0,Junction Choke Points,Stable
cell_12.87_77.659,461,4,Freight Obstruction Corridors,Stable
cell_12.87_77.66,461,4,Freight Obstruction Corridors,Stable
cell_12.881_77.544,-1,5,Mixed Risk Zone,Stable
cell_12.881_77.546,247,5,Mixed Risk Zone,Stable
cell_12.881_77.552,-1,1,Night Spillovers,Stable
cell_12.881_77.596,299,1,Night Spillovers,Stable
cell_12.881_77.598,-1,1,Night Spillovers,Stable
cell_12.881_77.61,147,1,Night Spillovers,Stable
cell_12.881_77.639,-1,4,Freight Obstruction Corridors,Stable
cell_12.881_77.641,609,4,Freight Obstruction Corridors,Stable
cell_12.881_77.642,609,1,Night Spillovers,Stable
cell_12.881_77.644,647,0,Junction Choke Points,Stable
cell_12.881_77.645,648,0,Junction Choke Points,Stable
cell_12.881_77.646,-1,1,Night Spillovers,Stable
cell_12.881_77.655,-1,1,Night Spillovers,Stable
cell_12.882_77.543,-1,1,Night Spillovers,Stable
cell_12.882_77.547,-1,1,Night Spillovers,Stable
cell_12.882_77.595,299,1,Night Spillovers,Stable
cell_12.882_77.596,299,1,Night Spillovers,Stable
cell_12.882_77.61,147,1,Night Spillovers,Stable
cell_12.882_77.641,-1,4,Freight Obstruction Corridors,Stable
cell_12.882_77.642,609,1,Night Spillovers,Stable
cell_12.882_77.643,-1,4,Freight Obstruction Corridors,Stable
cell_12.882_77.644,647,0,Junction Choke Points,Stable
cell_12.882_77.647,-1,4,Freight Obstruction Corridors,Stable
cell_12.882_77.65,-1,1,Night Spillovers,Stable
cell_12.882_77.673,81,1,Night Spillovers,Stable
cell_12.882_77.757,4,0,Junction Choke Points,Stable
cell_12.883_77.546,-1,1,Night Spillovers,Stable
cell_12.883_77.547,-1,1,Night Spillovers,Stable
cell_12.883_77.549,215,1,Night Spillovers,Declining
cell_12.883_77.596,299,1,Night Spillovers,Stable
cell_12.883_77.607,147,1,Night Spillovers,Stable
cell_12.883_77.61,147,1,Night Spillovers,Stable
cell_12.883_77.636,-1,0,Junction Choke Points,Stable
cell_12.883_77.637,-1,0,Junction Choke Points,Stable
cell_12.883_77.638,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.641,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.642,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.643,701,4,Freight Obstruction Corridors,Stable
cell_12.883_77.644,-1,5,Mixed Risk Zone,Stable
cell_12.883_77.647,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.649,-1,4,Freight Obstruction Corridors,Stable
cell_12.883_77.65,-1,1,Night Spillovers,Stable
cell_12.883_77.752,4,1,Night Spillovers,Declining
cell_12.883_77.753,4,1,Night Spillovers,Stable
cell_12.884_77.502,-1,1,Night Spillovers,Stable
cell_12.884_77.549,215,1,Night Spillovers,Stable
cell_12.884_77.55,215,1,Night Spillovers,Stable
cell_12.884_77.551,215,1,Night Spillovers,Stable
cell_12.884_77.596,298,5,Mixed Risk Zone,Stable
cell_12.884_77.597,298,1,Night Spillovers,Stable
cell_12.884_77.598,298,1,Night Spillovers,Stable
cell_12.884_77.599,298,1,Night Spillovers,Stable
cell_12.884_77.6,-1,1,Night Spillovers,Stable
cell_12.884_77.636,-1,1,Night Spillovers,Stable
cell_12.884_77.639,-1,4,Freight Obstruction Corridors,Stable
cell_12.884_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.884_77.641,739,0,Junction Choke Points,Growing
cell_12.884_77.642,739,4,Freight Obstruction Corridors,Growing
cell_12.884_77.643,701,4,Freight Obstruction Corridors,Declining
cell_12.884_77.644,-1,1,Night Spillovers,Stable
cell_12.884_77.751,4,1,Night Spillovers,Stable
cell_12.884_77.752,4,1,Night Spillovers,Declining
cell_12.884_77.753,4,4,Freight Obstruction Corridors,Stable
cell_12.885_77.555,-1,1,Night Spillovers,Stable
cell_12.885_77.57,-1,5,Mixed Risk Zone,Stable
cell_12.885_77.596,298,1,Night Spillovers,Stable
cell_12.885_77.602,-1,1,Night Spillovers,Stable
cell_12.885_77.635,-1,0,Junction Choke Points,Stable
cell_12.885_77.637,-1,4,Freight Obstruction Corridors,Stable
cell_12.885_77.641,-1,1,Night Spillovers,Stable
cell_12.885_77.642,740,4,Freight Obstruction Corridors,Growing
cell_12.885_77.643,-1,4,Freight Obstruction Corridors,Declining
cell_12.885_77.747,4,1,Night Spillovers,Stable
cell_12.886_77.556,-1,4,Freight Obstruction Corridors,Stable
cell_12.886_77.557,-1,1,Night Spillovers,Stable
cell_12.886_77.56,-1,1,Night Spillovers,Stable
cell_12.886_77.561,-1,1,Night Spillovers,Stable
cell_12.886_77.562,-1,1,Night Spillovers,Stable
cell_12.886_77.571,-1,5,Mixed Risk Zone,Stable
cell_12.886_77.597,-1,1,Night Spillovers,Stable
cell_12.886_77.598,-1,1,Night Spillovers,Stable
cell_12.886_77.636,-1,1,Night Spillovers,Stable
cell_12.886_77.638,-1,4,Freight Obstruction Corridors,Stable
cell_12.886_77.639,-1,4,Freight Obstruction Corridors,Stable
cell_12.886_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.886_77.641,718,1,Night Spillovers,Stable
cell_12.886_77.642,718,4,Freight Obstruction Corridors,Growing
cell_12.886_77.649,334,1,Night Spillovers,Stable
cell_12.886_77.651,334,1,Night Spillovers,Stable
cell_12.886_77.656,-1,4,Freight Obstruction Corridors,Stable
cell_12.886_77.738,4,4,Freight Obstruction Corridors,Stable
cell_12.887_77.538,-1,1,Night Spillovers,Stable
cell_12.887_77.561,-1,1,Night Spillovers,Stable
cell_12.887_77.562,-1,1,Night Spillovers,Stable
cell_12.887_77.563,-1,1,Night Spillovers,Stable
cell_12.887_77.565,-1,1,Night Spillovers,Stable
cell_12.887_77.566,-1,1,Night Spillovers,Stable
cell_12.887_77.596,-1,1,Night Spillovers,Stable
cell_12.887_77.597,-1,1,Night Spillovers,Stable
cell_12.887_77.64,-1,4,Freight Obstruction Corridors,Stable
cell_12.887_77.641,719,4,Freight Obstruction Corridors,Stable
cell_12.887_77.642,-1,5,Mixed Risk Zone,Stable
cell_12.887_77.649,334,1,Night Spillovers,Stable
cell_12.887_77.65,334,0,Junction Choke Points,Stable
cell_12.887_77.651,334,0,Junction Choke Points,Stable
cell_12.887_77.738,4,1,Night Spillovers,Stable
cell_12.887_77.739,4,1,Night Spillovers,Stable
cell_12.888_77.562,362,1,Night Spillovers,Stable
cell_12.888_77.563,362,1,Night Spillovers,Declining
cell_12.888_77.564,-1,1,Night Spillovers,Stable
cell_12.888_77.571,-1,5,Mixed Risk Zone,Stable
cell_12.888_77.582,-1,1,Night Spillovers,Stable
cell_12.888_77.592,-1,1,Night Spillovers,Stable
cell_12.888_77.597,-1,1,Night Spillovers,Stable
cell_12.888_77.639,-1,1,Night Spillovers,Stable
cell_12.888_77.64,719,4,Freight Obstruction Corridors,Growing
cell_12.888_77.641,719,4,Freight Obstruction Corridors,Growing
cell_12.888_77.642,-1,4,Freight Obstruction Corridors,Stable
cell_12.888_77.646,334,0,Junction Choke Points,Stable
cell_12.888_77.65,334,0,Junction Choke Points,Stable
cell_12.888_77.738,4,1,Night Spillovers,Stable
cell_12.888_77.739,4,1,Night Spillovers,Stable
cell_12.889_77.562,361,1,Night Spillovers,Stable
cell_12.889_77.563,354,1,Night Spillovers,Stable
cell_12.889_77.564,-1,1,Night Spillovers,Stable
cell_12.889_77.611,-1,1,Night Spillovers,Stable
cell_12.889_77.626,-1,5,Mixed Risk Zone,Stable
cell_12.889_77.636,-1,5,Mixed Risk Zone,Stable
cell_12.889_77.639,-1,1,Night Spillovers,Declining
cell_12.889_77.64,738,1,Night Spillovers,Declining
cell_12.889_77.641,-1,4,Freight Obstruction Corridors,Stable
cell_12.889_77.65,334,4,Freight Obstruction Corridors,Stable
cell_12.889_77.671,80,4,Freight Obstruction Corridors,Stable
cell_12.889_77.672,80,4,Freight Obstruction Corridors,Stable
cell_12.889_77.673,80,1,Night Spillovers,Stable
cell_12.88_77.544,-1,1,Night Spillovers,Stable
cell_12.88_77.545,247,1,Night Spillovers,Declining
cell_12.88_77.546,247,1,Night Spillovers,Stable
cell_12.88_77.552,-1,1,Night Spillovers,Stable
cell_12.88_77.595,-1,1,Night Spillovers,Stable
cell_12.88_77.625,-1,5,Mixed Risk Zone,Stable
cell_12.88_77.639,-1,5,Mixed Risk Zone,Stable
cell_12.88_77.64,609,1,Night Spillovers,Stable
cell_12.88_77.641,609,4,Freight Obstruction Corridors,Stable
cell_12.88_77.644,-1,4,Freight Obstruction Corridors,Stable
cell_12.88_77.645,642,1,Night Spillovers,Stable
cell_12.88_77.646,642,4,Freight Obstruction Corridors,Stable
cell_12.88_77.672,81,1,Night Spillovers,Stable
cell_12.891_77.564,-1,1,Night Spillovers,Stable
cell_12.891_77.565,-1,1,Night Spillovers,Stable
cell_12.891_77.571,336,1,Night Spillovers,Stable
cell_12.891_77.572,336,1,Night Spillovers,Stable
cell_12.891_77.582,-1,1,Night Spillovers,Stable
